#theta[deg]	rhozz(theta)/rhozz(0)
0.0000000e+00 1.0000000e+00
1.0471976e-01 1.0000050e+00
2.0943951e-01 1.0000197e+00
3.1415927e-01 1.0000434e+00
4.1887902e-01 1.0000753e+00
5.2359878e-01 1.0001138e+00
6.2831853e-01 1.0001573e+00
7.3303829e-01 1.0002039e+00
8.3775804e-01 1.0002515e+00
9.4247780e-01 1.0002982e+00
1.0471976e+00 1.0003418e+00
1.1519173e+00 1.0003804e+00
1.2566371e+00 1.0004124e+00
1.3613568e+00 1.0004363e+00
1.4660766e+00 1.0004511e+00
1.5707963e+00 1.0004561e+00
1.6755161e+00 1.0004511e+00
1.7802358e+00 1.0004363e+00
1.8849556e+00 1.0004124e+00
1.9896753e+00 1.0003804e+00
2.0943951e+00 1.0003418e+00
2.1991149e+00 1.0002982e+00
2.3038346e+00 1.0002515e+00
2.4085544e+00 1.0002039e+00
2.5132741e+00 1.0001573e+00
2.6179939e+00 1.0001138e+00
2.7227136e+00 1.0000753e+00
2.8274334e+00 1.0000434e+00
2.9321531e+00 1.0000197e+00
3.0368729e+00 1.0000050e+00
3.1415927e+00 1.0000000e+00
